province,year,crop_name,area,production,yield,q_cv_group,q_area_coverage,q_n_regions_used,q_n_expected_regions,q_n_missing_regions,q_n_structural_zero_regions,q_source_status,q_apy_incoherent,q_calculated_region
Agrigento,1995,Durum wheat,50190.0,79199.8,1.577999601514246,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,1996,Durum wheat,51520.0,114776.2,2.227798913043478,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,1997,Durum wheat,50200.0,120480.0,2.4,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,1998,Durum wheat,34039.0,81693.6,2.4000000000000004,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,1999,Durum wheat,48000.0,96000.0,2.0,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2000,Durum wheat,45000.0,85050.0,1.89,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2001,Durum wheat,45000.0,94185.0,2.093,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2002,Durum wheat,45000.0,54990.0,1.222,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2003,Durum wheat,48000.0,112575.0,2.3453125,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2004,Durum wheat,48000.0,110400.0,2.3,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2005,Durum wheat,44000.0,110484.0,2.511,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2006,Durum wheat,38000.0,103588.0,2.726,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2007,Durum wheat,42750.0,111868.0,2.616795321637427,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2008,Durum wheat,42000.0,120000.0,2.857142857142857,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2009,Durum wheat,30572.0,87753.8,2.8703977495747743,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2010,Durum wheat,42100.0,127900.0,3.0380047505938244,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2011,Durum wheat,43650.0,127850.0,2.928980526918671,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2012,Durum wheat,40120.0,123102.0,3.068344965104686,Agrigento,1.0,1,1,0,0,complete,True,False
Agrigento,2013,Durum wheat,26710.0,81455.0,3.0496068888056906,Agrigento,1.0,1,1,0,0,complete,True,False
Agrigento,2014,Durum wheat,26635.0,75690.0,2.841749577623428,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2015,Durum wheat,26673.0,78572.5,2.945769129831665,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2016,Durum wheat,26530.0,84328.0,3.178590275160196,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2017,Durum wheat,26500.0,84300.0,3.181132075471698,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2018,Durum wheat,20500.0,54930.0,2.6795121951219514,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2019,Durum wheat,21300.0,55030.0,2.583568075117371,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2020,Durum wheat,21300.0,55030.0,2.583568075117371,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2021,Durum wheat,21150.0,53050.0,2.508274231678487,Agrigento,1.0,1,1,0,0,complete,False,False
Agrigento,2022,Durum wheat,21800.0,55030.0,2.5243119266055047,Agrigento,1.0,1,1,0,0,complete,False,False
Alessandria,1995,Durum wheat,2500.0,12230.0,4.892,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1995,Grain maize,33000.0,257400.0,7.8,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1995,Soft wheat,54500.0,297352.0,5.456,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1996,Durum wheat,1350.0,6480.0,4.8,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1996,Grain maize,27070.0,216558.0,7.999926117473217,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1996,Soft wheat,60000.0,344190.0,5.7365,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1997,Durum wheat,390.0,1065.0,2.730769230769231,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1997,Grain maize,25850.0,167880.0,6.494390715667311,Alessandria,1.0,1,1,0,0,complete,True,False
Alessandria,1997,Soft wheat,41280.0,143934.0,3.4867732558139535,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1998,Durum wheat,800.0,4351.0,5.43875,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1998,Grain maize,21450.0,157500.0,7.3426573426573425,Alessandria,1.0,1,1,0,0,complete,True,False
Alessandria,1998,Soft wheat,42115.0,240640.0,5.71387866555859,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1999,Durum wheat,870.0,4749.0,5.458620689655173,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1999,Grain maize,21300.0,157500.0,7.394366197183099,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,1999,Soft wheat,44015.0,223766.0,5.083857775758264,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2000,Durum wheat,880.0,4790.0,5.443181818181818,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2000,Grain maize,24000.0,180648.0,7.527,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2000,Soft wheat,45100.0,223800.0,4.96230598669623,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2001,Durum wheat,1200.0,5520.0,4.6,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2001,Grain maize,23934.0,182565.2,7.627859948190859,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2001,Soft wheat,37000.0,155400.0,4.2,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2002,Durum wheat,1200.0,5796.0,4.83,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2002,Grain maize,23934.0,164331.0,6.8660065179242915,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2002,Soft wheat,40442.0,163170.0,4.034666930418871,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2003,Durum wheat,120.0,360.0,3.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2003,Grain maize,23500.0,122200.0,5.2,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2003,Soft wheat,32100.0,130500.0,4.065420560747664,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2004,Durum wheat,1100.0,6500.5,5.909545454545454,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2004,Grain maize,23500.0,132200.0,5.625531914893617,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2004,Soft wheat,32100.0,149250.0,4.649532710280374,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2005,Durum wheat,879.0,5186.1,5.9,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2005,Grain maize,23500.0,132200.0,5.625531914893617,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2005,Soft wheat,34700.0,161355.0,4.65,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2006,Durum wheat,817.0,4285.0,5.244798041615667,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2006,Grain maize,23557.0,129152.5,5.482552956658318,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2006,Soft wheat,34100.0,156860.0,4.6,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2007,Durum wheat,3031.0,13701.0,4.520290333223358,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2007,Grain maize,23550.0,129250.0,5.488322717622081,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2007,Soft wheat,36414.0,169688.6,4.659982424342286,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2008,Durum wheat,1758.0,8668.8,4.931058020477815,Alessandria,1.0,1,1,0,0,complete,False,False
